ID	Year	Strain	Host	Lineage	SubLineage	Region	Country	Note
KU312312	2015	Z1106033	Homo Sapiens	Asian	Oceania-American	South America	Suriname	
KU365779	2015	BeH819966	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU707826	2015	SSABR1	Homo Sapiens 	Asian	Oceania-American	South America	Brazil	
KU365777	2015	BeH818995	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU365780	2015	BeH815744	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU870645	2016	FB-GWUH	Homo Sapiens	Asian	Oceania-American	North America	USA	microcephaly
KX694534	2015	R103451	Homo Sapiens	Asian	Oceania-American	Central America	Honduras	
KX262887	2016	103451	Homo Sapiens	Asian	Oceania-American	Central America	Honduras	
KU501217	2015	8375	Homo Sapiens	Asian	Oceania-American	Central America	Guatemala	
KU501216	2015	103344	Homo Sapiens	Asian	Oceania-American	Central America	Guatemala	
KX766029	2016	R116265	Homo Sapiens	Asian	Oceania-American	North America	Mexico	
KX446950	2016	MEX_2-81	Aedes sp.	Asian	Oceania-American	North America	Mexico	
KX247632	2015	MEX_I_7	Homo Sapiens	Asian	Oceania-American	North America	Mexico	
KX446951	2016	MEX_I-7	Aedes sp.	Asian	Oceania-American	North America	Mexico	
KU940228	2015	Bahia07	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KX520666	2015	HS-2015-BA-01	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU729218	2015	BeH828305	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KX197205	2015	9	Homo Sapiens	Asian	Oceania-American	South America	Brazil	
KU497555	2015	Brazil-ZKV2015	Homo Sapiens	Asian	Oceania-American	South America	Brazil	microcephaly -
KU991811	2016	INMI1	Homo Sapiens	Asian	Oceania-American	Europe	Italy	
KX548902	2015	FCC00093	Homo Sapiens	Asian	Oceania-American	North America	Colombia	
KU647676	2015	MRS_OPY_Martinique_PaRi_2015	Homo Sapiens	Asian	Oceania-American	North America	Martinique	
KU922923	2016	Lm	Homo Sapiens	Asian	Oceania-American	North America	Mexica	
KU922960	2016	Sm	Homo Sapiens	Asian	Oceania-American	North America	Mexico	
KX198135	2016	BEI-259634_V4	Homo Sapiens	Asian	Oceania-American	Central America	Panama	
KX702400	2016	UF-1	Homo Sapiens	Asian	Oceania-American	South America	Venezuela	
KX247646	2016	UF-1	Homo Sapiens	Asian	Oceania-American	North America	Colombia	
KX087102	2015	COL_FLR	Homo Sapiens	Asian	Oceania-American	North America	Colombia	
KU820897	2015	FLR	Homo Sapiens	Asian	Oceania-American	North America	Colombia	
KX156775	2015	CDC-259249_V1-V3	Homo Sapiens	Asian	Oceania-American	Central America	Panama	
KX156774	2015	CDC-259359_V1-V3	Homo Sapiens	Asian	Oceania-American	Central America	Panama	
KX156776	2015	CDC-259364_V1-V2	Homo Sapiens	Asian	Oceania-American	Central America	Panama	
KX447510	2013	1_0049_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX447511	2014	1_0015_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX369547	2013	PF13/251013-18	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX447512	2013	1_0181_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX447513	2013	1_0134_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX117076	2016	Zhejiang04	Homo Sapiens	Asian	Oceania-American	Asia	China	
KU866423	2016	SZ01	Homo Sapiens	Asian	Oceania-American	Asia	China	
KU955589	2016	Z16006	Homo Sapiens	Asian	Oceania-American	Asia	China	
KX266255	2016	ZIKV_SMGC-1	Homo Sapiens	Asian	Oceania-American	Asia	China	
KU820899	2016	ZJ03	Homo Sapiens	Asian	Oceania-American	Asia	China	
KX185891	2016	SZ02	Homo Sapiens	Asian	Oceania-American	Asia	China	
KU963796	2016	SZ-WIV01	Homo Sapiens	Asian	Oceania-American	Asia	China	
KX806557	2016	TS17-2016	Homo Sapiens	Asian	Oceania-American	Oceania	Australia	
KJ776791	2013	H/PF/2013	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX447516	2014	1_0111_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX447515	2013	1_0030_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX447514	2014	1_0035_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
KX447509	2013	1_0087_PF	Homo Sapiens	Asian	Oceania-American	Oceania	French Polynesia	
